Round 1,Storm,Sharks,Panthers,Warriors,Knights,Rabbitohs,Bulldogs,Raiders,Tigers,Dragons,Sea Eagles,Cowboys,Dolphins,Roosters,Broncos,Titans,Eels
Round 2,Storm,Warriors,Panthers,Knights,Tigers,Bulldogs,Sharks,Rabbitohs,Dolphins,Roosters,Raiders,Eels,Sea Eagles,Dragons,Broncos,Cowboys,Titans
Round 3,Warriors,Panthers,Bulldogs,Storm,Tigers,Dolphins,Rabbitohs,Knights,Eels,Sharks,Sea Eagles,Cowboys,Broncos,Raiders,Roosters,Dragons,Titans
Round 4,Panthers,Warriors,Tigers,Knights,Rabbitohs,Bulldogs,Storm,Dolphins,Sharks,Broncos,Cowboys,Roosters,Eels,Sea Eagles,Raiders,Titans,Dragons
Round 5,Panthers,Tigers,Knights,Rabbitohs,Warriors,Sharks,Cowboys,Broncos,Bulldogs,Roosters,Storm,Sea Eagles,Dolphins,Eels,Titans,Raiders,Dragons
Round 6,Panthers,Tigers,Warriors,Cowboys,Rabbitohs,Knights,Bulldogs,Roosters,Sea Eagles,Sharks,Broncos,Dolphins,Storm,Titans,Raiders,Eels,Dragons
Round 7,Panthers,Warriors,Tigers,Rabbitohs,Roosters,Sea Eagles,Sharks,Knights,Broncos,Bulldogs,Cowboys,Dolphins,Raiders,Eels,Storm,Titans,Dragons
